Route,Cost,Region
"['Countdown Auckland City', 'Countdown Grey Lynn Central', 'Countdown Mt Eden']",697.8449999999999,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn Central', 'Countdown Mt Roskill']",699.51625,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn Central', 'Countdown Newmarket']",705.155625,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn Central', 'Countdown Onehunga']",672.29875,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn Central', 'Countdown Ponsonby']",669.07125,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn Central', 'Countdown Pt Chevalier']",705.711875,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn Central', 'Countdown St Lukes']",637.8575,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn Central', 'Countdown Three Kings']",688.0649999999999,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn Central', 'Countdown Victoria Street West']",712.308125,Central Region
"['Countdown Auckland City', 'Countdown Lynfield', 'Countdown Mt Eden']",709.373125,Central Region
"['Countdown Auckland City', 'Countdown Lynfield', 'Countdown Mt Roskill']",667.08,Central Region
"['Countdown Auckland City', 'Countdown Lynfield', 'Countdown Newmarket']",721.895,Central Region
"['Countdown Auckland City', 'Countdown Lynfield', 'Countdown Onehunga']",624.724375,Central Region
"['Countdown Auckland City', 'Countdown Lynfield', 'Countdown Ponsonby']",705.793125,Central Region
"['Countdown Auckland City', 'Countdown Lynfield', 'Countdown Pt Chevalier']",710.124375,Central Region
"['Countdown Auckland City', 'Countdown Lynfield', 'Countdown St Lukes']",636.4825,Central Region
"['Countdown Auckland City', 'Countdown Lynfield', 'Countdown Three Kings']",633.83875,Central Region
"['Countdown Auckland City', 'Countdown Lynfield', 'Countdown Victoria Street West']",729.0474999999999,Central Region
"['Countdown Auckland City', 'Countdown Mt Eden', 'Countdown Mt Roskill']",665.9506250000001,Central Region
"['Countdown Auckland City', 'Countdown Mt Eden', 'Countdown Newmarket']",666.326875,Central Region
"['Countdown Auckland City', 'Countdown Mt Eden', 'Countdown Onehunga']",633.214375,Central Region
"['Countdown Auckland City', 'Countdown Mt Eden', 'Countdown Ponsonby']",661.994375,Central Region
"['Countdown Auckland City', 'Countdown Mt Eden', 'Countdown Pt Chevalier']",692.8675000000001,Central Region
"['Countdown Auckland City', 'Countdown Mt Eden', 'Countdown St Lukes']",607.403125,Central Region
"['Countdown Auckland City', 'Countdown Mt Eden', 'Countdown Three Kings']",624.9093750000001,Central Region
"['Countdown Auckland City', 'Countdown Mt Eden', 'Countdown Victoria Street West']",680.28,Central Region
"['Countdown Auckland City', 'Countdown Mt Roskill', 'Countdown Newmarket']",720.861875,Central Region
"['Countdown Auckland City', 'Countdown Mt Roskill', 'Countdown Onehunga']",641.775625,Central Region
"['Countdown Auckland City', 'Countdown Mt Roskill', 'Countdown Ponsonby']",710.98625,Central Region
"['Countdown Auckland City', 'Countdown Mt Roskill', 'Countdown Pt Chevalier']",719.8275,Central Region
"['Countdown Auckland City', 'Countdown Mt Roskill', 'Countdown St Lukes']",633.93,Central Region
"['Countdown Auckland City', 'Countdown Mt Roskill', 'Countdown Three Kings']",642.344375,Central Region
"['Countdown Auckland City', 'Countdown Mt Roskill', 'Countdown Victoria Street West']",745.6300000000001,Central Region
"['Countdown Auckland City', 'Countdown Newmarket', 'Countdown Onehunga']",610.5550000000001,Central Region
"['Countdown Auckland City', 'Countdown Newmarket', 'Countdown Ponsonby']",620.63625,Central Region
"['Countdown Auckland City', 'Countdown Newmarket', 'Countdown Pt Chevalier']",648.9881250000001,Central Region
"['Countdown Auckland City', 'Countdown Newmarket', 'Countdown St Lukes']",585.1875,Central Region
"['Countdown Auckland City', 'Countdown Newmarket', 'Countdown Three Kings']",581.6343750000001,Central Region
"['Countdown Auckland City', 'Countdown Newmarket', 'Countdown Victoria Street West']",627.22875,Central Region
"['Countdown Auckland City', 'Countdown Onehunga', 'Countdown Ponsonby']",726.0443750000001,Central Region
"['Countdown Auckland City', 'Countdown Onehunga', 'Countdown Pt Chevalier']",744.1949999999999,Central Region
"['Countdown Auckland City', 'Countdown Onehunga', 'Countdown St Lukes']",662.50625,Central Region
"['Countdown Auckland City', 'Countdown Onehunga', 'Countdown Three Kings']",629.4881250000001,Central Region
"['Countdown Auckland City', 'Countdown Onehunga', 'Countdown Victoria Street West']",749.2987499999999,Central Region
"['Countdown Auckland City', 'Countdown Ponsonby', 'Countdown Pt Chevalier']",638.0293750000001,Central Region
"['Countdown Auckland City', 'Countdown Ponsonby', 'Countdown St Lukes']",570.175,Central Region
"['Countdown Auckland City', 'Countdown Ponsonby', 'Countdown Three Kings']",603.8831250000001,Central Region
"['Countdown Auckland City', 'Countdown Ponsonby', 'Countdown Victoria Street West']",622.098125,Central Region
"['Countdown Auckland City', 'Countdown Pt Chevalier', 'Countdown St Lukes']",612.460625,Central Region
"['Countdown Auckland City', 'Countdown Pt Chevalier', 'Countdown Three Kings']",655.808125,Central Region
"['Countdown Auckland City', 'Countdown Pt Chevalier', 'Countdown Victoria Street West']",689.024375,Central Region
"['Countdown Auckland City', 'Countdown St Lukes', 'Countdown Three Kings']",568.8243749999999,Central Region
"['Countdown Auckland City', 'Countdown St Lukes', 'Countdown Victoria Street West']",640.0206249999999,Central Region
"['Countdown Auckland City', 'Countdown Three Kings', 'Countdown Victoria Street West']",686.524375,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Grey Lynn']",617.860625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Grey Lynn Central']",690.575625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Lynfield']",645.988125,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Mt Eden']",631.110625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Mt Roskill']",638.994375,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Newmarket']",616.365625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Onehunga']",567.958125,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Ponsonby']",632.954375,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Pt Chevalier']",661.3062500000001,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown St Lukes']",597.505625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Three Kings']",584.61875,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Victoria Street West']",639.54625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Countdown Grey Lynn Central']",600.9156250000001,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Countdown Lynfield']",582.84625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Countdown Mt Eden']",588.3006250000001,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Countdown Mt Roskill']",589.971875,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Countdown Newmarket']",586.515,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Countdown Onehunga']",559.7306249999999,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Countdown Ponsonby']",551.63375,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Countdown Pt Chevalier']",590.6018750000001,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Countdown St Lukes']",528.31375,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Countdown Three Kings']",575.496875,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Countdown Victoria Street West']",584.759375,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Countdown Lynfield']",645.863125,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Countdown Mt Eden']",648.29375,Central Region
