Route,Cost,Region
"['Countdown Auckland City', 'Countdown Mt Eden', 'Countdown Mt Roskill']",1026.4396527777778,Central Region
"['Countdown Auckland City', 'Countdown Mt Eden', 'Countdown Newmarket']",1026.899513888889,Central Region
"['Countdown Auckland City', 'Countdown Mt Eden', 'Countdown Onehunga']",986.4286805555556,Central Region
"['Countdown Auckland City', 'Countdown Mt Eden', 'Countdown Pt Chevalier']",1059.3380555555557,Central Region
"['Countdown Auckland City', 'Countdown Mt Eden', 'Countdown St Lukes']",989.2565972222221,Central Region
"['Countdown Auckland City', 'Countdown Mt Eden', 'Countdown Metro Albert Street']",966.1963194444445,Central Region
"['Countdown Auckland City', 'Countdown Mt Eden', 'Countdown Metro Halsey Street']",942.1468055555556,Central Region
"['Countdown Auckland City', 'Countdown Mt Roskill', 'Countdown Newmarket']",1127.928402777778,Central Region
"['Countdown Auckland City', 'Countdown Mt Roskill', 'Countdown Onehunga']",1031.2674305555556,Central Region
"['Countdown Auckland City', 'Countdown Mt Roskill', 'Countdown St Lukes']",1056.053333333333,Central Region
"['Countdown Auckland City', 'Countdown Mt Roskill', 'Countdown Metro Albert Street']",1061.6060416666667,Central Region
"['Countdown Auckland City', 'Countdown Mt Roskill', 'Countdown Metro Halsey Street']",1029.0582638888889,Central Region
"['Countdown Auckland City', 'Countdown Newmarket', 'Countdown Onehunga']",993.108888888889,Central Region
"['Countdown Auckland City', 'Countdown Newmarket', 'Countdown Pt Chevalier']",1040.0827083333334,Central Region
"['Countdown Auckland City', 'Countdown Newmarket', 'Countdown St Lukes']",996.4791666666667,Central Region
"['Countdown Auckland City', 'Countdown Newmarket', 'Countdown Metro Albert Street']",922.5041666666668,Central Region
"['Countdown Auckland City', 'Countdown Newmarket', 'Countdown Metro Halsey Street']",898.735625,Central Region
"['Countdown Auckland City', 'Countdown Onehunga', 'Countdown Pt Chevalier']",1156.4466666666667,Central Region
"['Countdown Auckland City', 'Countdown Onehunga', 'Countdown St Lukes']",1090.979861111111,Central Region
"['Countdown Auckland City', 'Countdown Onehunga', 'Countdown Metro Albert Street']",1043.23375,Central Region
